date,cpi_food_away
2010-01-01,224.916
2010-02-01,225.081
2010-03-01,224.991
2010-04-01,225.276
2010-05-01,225.573
2010-06-01,225.797
2010-07-01,225.71
2010-08-01,226.422
2010-09-01,227.075
2010-10-01,227.287
2010-11-01,227.512
2010-12-01,227.722
2011-01-01,228.181
2011-02-01,228.606
2011-03-01,229.282
2011-04-01,230.082
2011-05-01,230.501
2011-06-01,231.097
2011-07-01,231.58
2011-08-01,232.513
2011-09-01,233.032
2011-10-01,233.459
2011-11-01,234.046
2011-12-01,234.435
2012-01-01,235.268
2012-02-01,235.603
2012-03-01,236.073
2012-04-01,236.695
2012-05-01,237.262
2012-06-01,237.839
2012-07-01,238.337
2012-08-01,239.057
2012-09-01,239.565
2012-10-01,239.742
2012-11-01,240.038
2012-12-01,240.359
2013-01-01,240.713
2013-02-01,240.93
2013-03-01,241.409
2013-04-01,242.236
2013-05-01,242.642
2013-06-01,243.016
2013-07-01,243.409
2013-08-01,243.811
2013-09-01,244.036
2013-10-01,244.35
2013-11-01,244.97
2013-12-01,245.3
2014-01-01,245.481
2014-02-01,246.187
2014-03-01,246.878
2014-04-01,247.534
2014-05-01,247.952
2014-06-01,248.445
2014-07-01,249.21
2014-08-01,249.801
2014-09-01,250.57
2014-10-01,251.1
2014-11-01,251.987
2014-12-01,252.628
2015-01-01,253.037
2015-02-01,253.719
2015-03-01,254.108
2015-04-01,254.727
2015-05-01,255.322
2015-06-01,255.846
2015-07-01,255.905
2015-08-01,256.449
2015-09-01,257.83
2015-10-01,258.363
2015-11-01,258.805
2015-12-01,259.097
2016-01-01,259.958
2016-02-01,260.319
2016-03-01,260.883
2016-04-01,261.517
2016-05-01,262.074
2016-06-01,262.529
2016-07-01,263.051
2016-08-01,263.649
2016-09-01,264.102
2016-10-01,264.459
2016-11-01,264.699
2016-12-01,265.104
2017-01-01,266.079
2017-02-01,266.626
2017-03-01,267.055
2017-04-01,267.652
2017-05-01,268.128
2017-06-01,268.225
2017-07-01,268.649
2017-08-01,269.522
2017-09-01,270.353
2017-10-01,270.658
2017-11-01,271.152
2017-12-01,271.811
2018-01-01,272.772
2018-02-01,273.435
2018-03-01,273.733
2018-04-01,274.393
2018-05-01,275.307
2018-06-01,275.808
2018-07-01,276.125
2018-08-01,276.648
2018-09-01,277.258
2018-10-01,277.513
2018-11-01,278.306
2018-12-01,279.419
2019-01-01,280.38
2019-02-01,281.373
2019-03-01,281.887
2019-04-01,282.798
2019-05-01,283.394
2019-06-01,284.316
2019-07-01,284.891
2019-08-01,285.507
2019-09-01,286.246
2019-10-01,286.791
2019-11-01,287.255
2019-12-01,288.078
2020-01-01,289.137
2020-02-01,289.781
2020-03-01,290.216
2020-04-01,290.639
2020-05-01,291.709
2020-06-01,293.219
2020-07-01,294.599
2020-08-01,295.437
2020-09-01,297.08
2020-10-01,297.893
2020-11-01,298.253
2020-12-01,299.369
2021-01-01,300.382
2021-02-01,300.54
2021-03-01,300.897
2021-04-01,301.819
2021-05-01,303.481
2021-06-01,305.634
2021-07-01,308.023
2021-08-01,309.336
2021-09-01,310.996
2021-10-01,313.592
2021-11-01,315.481
2021-12-01,317.372
2022-01-01,319.471
2022-02-01,320.88
2022-03-01,321.689
2022-04-01,323.559
2022-05-01,325.952
2022-06-01,329.033
2022-07-01,331.342
2022-08-01,334.212
2022-09-01,337.369
2022-10-01,340.532
2022-11-01,342.266
2022-12-01,343.559
2023-01-01,345.677
2023-02-01,347.869
2023-03-01,349.944
2023-04-01,351.237
2023-05-01,352.892
2023-06-01,354.245
2023-07-01,354.862
2023-08-01,356.083
2023-09-01,357.488
2023-10-01,358.824
2023-11-01,360.383
2023-12-01,361.564
2024-01-01,363.249
2024-02-01,363.596
2024-03-01,364.546
2024-04-01,365.813
2024-05-01,367.099
2024-06-01,368.616
2024-07-01,369.383
2024-08-01,370.348
2024-09-01,371.604
2024-10-01,372.486
2024-11-01,373.53
2024-12-01,374.644
2025-01-01,375.532
2025-02-01,376.991
2025-03-01,378.363
2025-04-01,380.039
2025-05-01,381.228
2025-06-01,382.75
2025-07-01,383.808
2025-08-01,384.909
2025-09-01,385.451
2025-10-01,
2025-11-01,387.202
2025-12-01,389.889
2026-01-01,390.471
2026-02-01,391.706
2026-03-01,392.652
2026-04-01,393.546
